Taxo,Type,Clade,Level,classify
Bartonella kosoyi,Bac,1Bac,Bac,Bartonellaceae
Bartonella sp,Bac,1Bac,Bac,Bartonellaceae
Chlamydia muridarum,Bac,1Bac,Bac,Chlamydiaceae
Collinsella aerofaciens,Bac,1Bac,Bac,Coriobacteriaceae
Klebsiella variicola,Bac,1Bac,Bac,Enterobacteriaceae
Angiostrongylus cantonensis,Euk,0Euk,Euk,Ancylostomatidae
Babesia microti,Euk,0Euk,Euk,Babesiidae
Brachylaima sp,Euk,0Euk,Euk,Brachylaimidae
Chilomastix sp,Euk,0Euk,Euk,Retortamonadidae
Cryptosporidium ubiquitum,Euk,0Euk,Euk,Cryptosporidiidae
Eimeria dispersa,Euk,0Euk,Euk,Eimeriidae
Eimeria falciformis,Euk,0Euk,Euk,Eimeriidae
Giardia sp1,Euk,0Euk,Euk,Hexamitidae
Giardia sp3,Euk,0Euk,Euk,Hexamitidae
Hepatozoon sp,Euk,0Euk,Euk,Hepatozoidae
Hypotrichomonas,Euk,0Euk,Euk,Hypotrichomonadidae
Monocercomonoides,Euk,0Euk,Euk,Oxymonadida_Unclassified
Nippostrongylus brasiliensis,Euk,0Euk,Euk,Ancylostomatidae
Oxyurida sp,Euk,0Euk,Euk,Oxyuridae
Plagiorchis multiglandularis,Euk,0Euk,Euk,Schistosomatidae
Pneumocystis carinii,Euk,0Euk,Euk,Pneumocystaceae
Pneumocystis murina,Euk,0Euk,Euk,Pneumocystaceae
Pneumocystis sus,Euk,0Euk,Euk,Pneumocystaceae
Pneumocystis wakefieldiae,Euk,0Euk,Euk,Pneumocystaceae
Raillietina sp,Euk,0Euk,Euk,Davaineidae
Spironucleus sp,Euk,0Euk,Euk,Hexamitidae
Spironucleus sp2,Euk,0Euk,Euk,Hexamitidae
Spironucleus sp3,Euk,0Euk,Euk,Hexamitidae
Spironucleus sp4,Euk,0Euk,Euk,Hexamitidae
Spironucleus sp5,Euk,0Euk,Euk,Hexamitidae
Strongyloides ratti,Euk,0Euk,Euk,Strongyloididae
Strongyloides stercoralis,Euk,0Euk,Euk,Strongyloididae
Strongyloides venezuelensis,Euk,0Euk,Euk,Strongyloididae
Tritrichomonas sp,Euk,0Euk,Euk,Tritrichomonadidae
Trypanosoma lewis,Euk,0Euk,Euk,Trypanosomatidae
Beilong virus,Virus,Mono-Chu-like,RNA Virus,Paramyxoviridae
Betacoronavirus 1,Virus,Nido-like,RNA Virus,Coronaviridae
Deer mastadenovirus B,Virus,Adeno-like,DNA Virus,Adenoviridae
Guangdong Bandicota indica arterivirus virus,Virus,Nido-like,RNA Virus,Arteriviridae
Guangdong Bandicota indica astrovirus,Virus,Astro-Poty-like,RNA Virus,Astroviridae
Guangdong dicipi-like virus,Virus,Picorna-like,RNA Virus,Picornaviridae
Guangdong murine mastadenovirus 2,Virus,Parvo-like,DNA Virus,Adenoviridae
Guangdong parechovirus,Virus,Picorna-like,RNA Virus,Picornaviridae
Guangdong Rattus norvegicus arterivirus virus,Virus,Nido-like,RNA Virus,Arteriviridae
Guangdong Rattus norvegicus arterivirus virus 2,Virus,Nido-like,RNA Virus,Arteriviridae
Guangdong rodent aleptorquevirus,Virus,Anello-like,DNA Virus,Anelloviridae
Guangdong rodent anellovirus 1,Virus,Anello-like,DNA Virus,Anelloviridae
Guangdong rodent anellovirus 2,Virus,Anello-like,DNA Virus,Anelloviridae
Guangdong rodent anellovirus 3,Virus,Anello-like,DNA Virus,Anelloviridae
Guangdong rodent arterivirus 1,Virus,Nido-like,RNA Virus,Arteriviridae
Guangdong rodent arterivirus 2,Virus,Nido-like,RNA Virus,Arteriviridae
Guangdong rodent chaphamaparvovirus 3,Virus,Parvo-like,DNA Virus,Parvoviridae
Guangdong rodent dependoparvovirus 1,Virus,Parvo-like,DNA Virus,Parvoviridae
Guangdong rodent dependoparvovirus 2,Virus,Parvo-like,DNA Virus,Parvoviridae
Guangdong rodent dependoparvovirus 3,Virus,Parvo-like,DNA Virus,Parvoviridae
Guangdong rodent dependoparvovirus 4,Virus,Parvo-like,DNA Virus,Parvoviridae
Guangdong rodent mastadenovirus 1,Virus,Adeno-like,DNA Virus,Adenoviridae
Guangdong rodent orbivirus,Virus,Reo-like,RNA Virus,Sedoreoviridae
Guangdong rodent picorna-like virus 14,Virus,Picorna-like,RNA Virus,Picornaviridae
Guangdong rodent torque teno virus 1,Virus,Anello-like,DNA Virus,Anelloviridae
Guangdong rodent torque teno virus 3,Virus,Anello-like,DNA Virus,Anelloviridae
Guangdong rosa-like virus,Virus,Picorna-like,RNA Virus,Picornaviridae
Hunnivirus A,Virus,Picorna-like,RNA Virus,Picornaviridae
Mischivirus E,Virus,Picorna-like,RNA Virus,Picornaviridae
Murine kobuvirus,Virus,Picorna-like,RNA Virus,Picornaviridae
Norwalk virus,Virus,Picorna-like,RNA Virus,Caliciviridae
Norway rat pestivirus,Virus,Flavi-like,RNA Virus,Flaviviridae
Orthohantavirus seoulense,Virus,Bunya_Arena-like,RNA Virus,Hantaviridae
Parabovirus A,Virus,Picorna-like,RNA Virus,Picornaviridae
Partiti-Picobirna-like,Virus,Picobirna-like,RNA Virus,Picobirnaviridae
Porcine bocavirus,Virus,Parvo-like,DNA Virus,Parvoviridae
Rabovirus A,Virus,Picorna-like,RNA Virus,Picornaviridae
Rat hepatitis E virus,Virus,Hepe-Virga-like,RNA Virus,Hepeviridae
Rat minute virus 2a,Virus,Parvo-like,DNA Virus,Parvoviridae
Rat parvovirus 1,Virus,Parvo-like,DNA Virus,Parvoviridae
Rat parvovirus 2,Virus,Parvo-like,DNA Virus,Parvoviridae
Rodent astrovirus 1,Virus,Astro-Poty-like,RNA Virus,Astroviridae
Rodent astrovirus 2,Virus,Astro-Poty-like,RNA Virus,Astroviridae
Rodent astrovirus 3,Virus,Astro-Poty-like,RNA Virus,Astroviridae
Rodent coronavirus,Virus,Nido-like,RNA Virus,Coronaviridae
Rodent pegivirus,Virus,Flavi-like,RNA Virus,Flaviviridae
Rodent torque teno virus 3,Virus,Anello-like,DNA Virus,Anelloviridae
Wenzhou Apodemus agrarius hepacivirus 1,Virus,Flavi-like,RNA Virus,Flaviviridae
Wnezhou virus,Virus,Bunya_Arena-like,RNA Virus,Arenaviridae
